input->0100010111100000: district: 0, candidate: 0, tally: 94, tag: 0100
input->0101010111110000: district: 0, candidate: 0, tally: 95, tag: 0101
input->1001011000000000: district: 0, candidate: 0, tally: 96, tag: 1001
input->1000011000010000: district: 0, candidate: 0, tally: 97, tag: 1000
input->1011011000100000: district: 0, candidate: 0, tally: 98, tag: 1011
input->1010011000110000: district: 0, candidate: 0, tally: 99, tag: 1010
input->1101011001000000: district: 0, candidate: 0, tally: 100, tag: 1101
input->1100011001010000: district: 0, candidate: 0, tally: 101, tag: 1100
input->1111011001100000: district: 0, candidate: 0, tally: 102, tag: 1111
input->1110011001110000: district: 0, candidate: 0, tally: 103, tag: 1110
input->0001011010000000: district: 0, candidate: 0, tally: 104, tag: 0001
input->0000011010010000: district: 0, candidate: 0, tally: 105, tag: 0000
input->0011011010100000: district: 0, candidate: 0, tally: 106, tag: 0011
input->0010011010110000: district: 0, candidate: 0, tally: 107, tag: 0010
input->0101011011000000: district: 0, candidate: 0, tally: 108, tag: 0101
input->0100011011010000: district: 0, candidate: 0, tally: 109, tag: 0100
input->0111011011100000: district: 0, candidate: 0, tally: 110, tag: 0111
input->0110011011110000: district: 0, candidate: 0, tally: 111, tag: 0110
input->1000011100000000: district: 0, candidate: 0, tally: 112, tag: 1000
input->1001011100010000: district: 0, candidate: 0, tally: 113, tag: 1001
input->1010011100100000: district: 0, candidate: 0, tally: 114, tag: 1010
input->1011011100110000: district: 0, candidate: 0, tally: 115, tag: 1011
input->1100011101000000: district: 0, candidate: 0, tally: 116, tag: 1100
input->1101011101010000: district: 0, candidate: 0, tally: 117, tag: 1101
input->1110011101100000: district: 0, candidate: 0, tally: 118, tag: 1110
input->1111011101110000: district: 0, candidate: 0, tally: 119, tag: 1111
input->0000011110000000: district: 0, candidate: 0, tally: 120, tag: 0000
input->0001011110010000: district: 0, candidate: 0, tally: 121, tag: 0001
input->0010011110100000: district: 0, candidate: 0, tally: 122, tag: 0010
input->0011011110110000: district: 0, candidate: 0, tally: 123, tag: 0011
input->0100011111000000: district: 0, candidate: 0, tally: 124, tag: 0100
input->0101011111010000: district: 0, candidate: 0, tally: 125, tag: 0101
input->0110011111100000: district: 0, candidate: 0, tally: 126, tag: 0110
input->0111011111110000: district: 0, candidate: 0, tally: 127, tag: 0111
input->0111100000000000: district: 0, candidate: 0, tally: 128, tag: 0111
input->0110100000010000: district: 0, candidate: 0, tally: 129, tag: 0110
input->0101100000100000: district: 0, candidate: 0, tally: 130, tag: 0101
input->0100100000110000: district: 0, candidate: 0, tally: 131, tag: 0100
input->0011100001000000: district: 0, candidate: 0, tally: 132, tag: 0011
input->0010100001010000: district: 0, candidate: 0, tally: 133, tag: 0010
input->0001100001100000: district: 0, candidate: 0, tally: 134, tag: 0001
input->0000100001110000: district: 0, candidate: 0, tally: 135, tag: 0000
input->1111100010000000: district: 0, candidate: 0, tally: 136, tag: 1111
input->1110100010010000: district: 0, candidate: 0, tally: 137, tag: 1110
input->1101100010100000: district: 0, candidate: 0, tally: 138, tag: 1101
input->1100100010110000: district: 0, candidate: 0, tally: 139, tag: 1100
input->1011100011000000: district: 0, candidate: 0, tally: 140, tag: 1011
input->1010100011010000: district: 0, candidate: 0, tally: 141, tag: 1010
input->1001100011100000: district: 0, candidate: 0, tally: 142, tag: 1001
input->1000100011110000: district: 0, candidate: 0, tally: 143, tag: 1000
input->0110100100000000: district: 0, candidate: 0, tally: 144, tag: 0110
input->0111100100010000: district: 0, candidate: 0, tally: 145, tag: 0111
input->0100100100100000: district: 0, candidate: 0, tally: 146, tag: 0100
input->0101100100110000: district: 0, candidate: 0, tally: 147, tag: 0101
input->0010100101000000: district: 0, candidate: 0, tally: 148, tag: 0010
input->0011100101010000: district: 0, candidate: 0, tally: 149, tag: 0011
input->0000100101100000: district: 0, candidate: 0, tally: 150, tag: 0000
input->0001100101110000: district: 0, candidate: 0, tally: 151, tag: 0001
input->1110100110000000: district: 0, candidate: 0, tally: 152, tag: 1110
input->1111100110010000: district: 0, candidate: 0, tally: 153, tag: 1111
input->1100100110100000: district: 0, candidate: 0, tally: 154, tag: 1100
input->1101100110110000: district: 0, candidate: 0, tally: 155, tag: 1101
input->1010100111000000: district: 0, candidate: 0, tally: 156, tag: 1010
input->1011100111010000: district: 0, candidate: 0, tally: 157, tag: 1011
input->1000100111100000: district: 0, candidate: 0, tally: 158, tag: 1000
input->1001100111110000: district: 0, candidate: 0, tally: 159, tag: 1001
input->0101101000000000: district: 0, candidate: 0, tally: 160, tag: 0101
input->0100101000010000: district: 0, candidate: 0, tally: 161, tag: 0100
input->0111101000100000: district: 0, candidate: 0, tally: 162, tag: 0111
input->0110101000110000: district: 0, candidate: 0, tally: 163, tag: 0110
input->0001101001000000: district: 0, candidate: 0, tally: 164, tag: 0001
input->0000101001010000: district: 0, candidate: 0, tally: 165, tag: 0000
input->0011101001100000: district: 0, candidate: 0, tally: 166, tag: 0011
input->0010101001110000: district: 0, candidate: 0, tally: 167, tag: 0010
input->1101101010000000: district: 0, candidate: 0, tally: 168, tag: 1101
input->1100101010010000: district: 0, candidate: 0, tally: 169, tag: 1100
input->1111101010100000: district: 0, candidate: 0, tally: 170, tag: 1111
input->1110101010110000: district: 0, candidate: 0, tally: 171, tag: 1110
input->1001101011000000: district: 0, candidate: 0, tally: 172, tag: 1001
input->1000101011010000: district: 0, candidate: 0, tally: 173, tag: 1000
input->1011101011100000: district: 0, candidate: 0, tally: 174, tag: 1011
input->1010101011110000: district: 0, candidate: 0, tally: 175, tag: 1010
input->0100101100000000: district: 0, candidate: 0, tally: 176, tag: 0100
input->0101101100010000: district: 0, candidate: 0, tally: 177, tag: 0101
input->0110101100100000: district: 0, candidate: 0, tally: 178, tag: 0110
input->0111101100110000: district: 0, candidate: 0, tally: 179, tag: 0111
input->0000101101000000: district: 0, candidate: 0, tally: 180, tag: 0000
input->0001101101010000: district: 0, candidate: 0, tally: 181, tag: 0001
input->0010101101100000: district: 0, candidate: 0, tally: 182, tag: 0010
input->0011101101110000: district: 0, candidate: 0, tally: 183, tag: 0011
input->1100101110000000: district: 0, candidate: 0, tally: 184, tag: 1100
input->1101101110010000: district: 0, candidate: 0, tally: 185, tag: 1101
input->1110101110100000: district: 0, candidate: 0, tally: 186, tag: 1110
input->1111101110110000: district: 0, candidate: 0, tally: 187, tag: 1111
input->1000101111000000: district: 0, candidate: 0, tally: 188, tag: 1000
input->1001101111010000: district: 0, candidate: 0, tally: 189, tag: 1001
input->1010101111100000: district: 0, candidate: 0, tally: 190, tag: 1010
input->1011101111110000: district: 0, candidate: 0, tally: 191, tag: 1011
input->0011110000000000: district: 0, candidate: 0, tally: 192, tag: 0011
input->0010110000010000: district: 0, candidate: 0, tally: 193, tag: 0010
input->0001110000100000: district: 0, candidate: 0, tally: 194, tag: 0001
input->0000110000110000: district: 0, candidate: 0, tally: 195, tag: 0000
input->0111110001000000: district: 0, candidate: 0, tally: 196, tag: 0111
input->0110110001010000: district: 0, candidate: 0, tally: 197, tag: 0110
input->0101110001100000: district: 0, candidate: 0, tally: 198, tag: 0101
input->0100110001110000: district: 0, candidate: 0, tally: 199, tag: 0100
input->1011110010000000: district: 0, candidate: 0, tally: 200, tag: 1011
input->1010110010010000: district: 0, candidate: 0, tally: 201, tag: 1010
input->1001110010100000: district: 0, candidate: 0, tally: 202, tag: 1001
input->1000110010110000: district: 0, candidate: 0, tally: 203, tag: 1000
input->1111110011000000: district: 0, candidate: 0, tally: 204, tag: 1111
input->1110110011010000: district: 0, candidate: 0, tally: 205, tag: 1110
input->1101110011100000: district: 0, candidate: 0, tally: 206, tag: 1101
input->1100110011110000: district: 0, candidate: 0, tally: 207, tag: 1100
input->0010110100000000: district: 0, candidate: 0, tally: 208, tag: 0010
input->0011110100010000: district: 0, candidate: 0, tally: 209, tag: 0011
input->0000110100100000: district: 0, candidate: 0, tally: 210, tag: 0000
input->0001110100110000: district: 0, candidate: 0, tally: 211, tag: 0001
input->0110110101000000: district: 0, candidate: 0, tally: 212, tag: 0110
input->0111110101010000: district: 0, candidate: 0, tally: 213, tag: 0111
input->0100110101100000: district: 0, candidate: 0, tally: 214, tag: 0100
input->0101110101110000: district: 0, candidate: 0, tally: 215, tag: 0101
input->1010110110000000: district: 0, candidate: 0, tally: 216, tag: 1010
input->1011110110010000: district: 0, candidate: 0, tally: 217, tag: 1011
input->1000110110100000: district: 0, candidate: 0, tally: 218, tag: 1000
input->1001110110110000: district: 0, candidate: 0, tally: 219, tag: 1001
input->1110110111000000: district: 0, candidate: 0, tally: 220, tag: 1110
input->1111110111010000: district: 0, candidate: 0, tally: 221, tag: 1111
input->1100110111100000: district: 0, candidate: 0, tally: 222, tag: 1100
input->1101110111110000: district: 0, candidate: 0, tally: 223, tag: 1101
input->0001111000000000: district: 0, candidate: 0, tally: 224, tag: 0001
input->0000111000010000: district: 0, candidate: 0, tally: 225, tag: 0000
input->0011111000100000: district: 0, candidate: 0, tally: 226, tag: 0011
input->0010111000110000: district: 0, candidate: 0, tally: 227, tag: 0010
input->0101111001000000: district: 0, candidate: 0, tally: 228, tag: 0101
input->0100111001010000: district: 0, candidate: 0, tally: 229, tag: 0100
input->0111111001100000: district: 0, candidate: 0, tally: 230, tag: 0111
input->0110111001110000: district: 0, candidate: 0, tally: 231, tag: 0110
input->1001111010000000: district: 0, candidate: 0, tally: 232, tag: 1001
input->1000111010010000: district: 0, candidate: 0, tally: 233, tag: 1000
input->1011111010100000: district: 0, candidate: 0, tally: 234, tag: 1011
input->1010111010110000: district: 0, candidate: 0, tally: 235, tag: 1010
input->1101111011000000: district: 0, candidate: 0, tally: 236, tag: 1101
input->1100111011010000: district: 0, candidate: 0, tally: 237, tag: 1100
input->1111111011100000: district: 0, candidate: 0, tally: 238, tag: 1111
input->1110111011110000: district: 0, candidate: 0, tally: 239, tag: 1110
input->0000111100000000: district: 0, candidate: 0, tally: 240, tag: 0000
input->0001111100010000: district: 0, candidate: 0, tally: 241, tag: 0001
input->0010111100100000: district: 0, candidate: 0, tally: 242, tag: 0010
input->0011111100110000: district: 0, candidate: 0, tally: 243, tag: 0011
